raw,display
h1,Summer 10pm-6am
h2,Summer 6am-1pm
h3,Summer 1pm-5pm
h4,Summer Peak
h5,Summer 5pm-10pm
h6,Fall 10pm-6am
h7,Fall 6am-1pm
h8,Fall 1pm-5pm
h9,Fall 5pm-10pm
h10,Winter 10pm-6am
h11,Winter 6am-1pm
h12,Winter 1pm-5pm
h13,Winter 5pm-10pm
h14,Spring 10pm-6am
h15,Spring 6am-1pm
h16,Spring 1pm-5pm
h17,Spring 5pm-10pm
