cost_cat,type
capcostconv,Capital
omconv,Operation
fuelconv,Operation
capcostre,Capital
omvrre,Operation
omdre,Operation
fuelre,Operation
capcoststore,Capital
omstore,Operation
fuelstore,Operation
capcosttrans,Capital
omtrans,Operation
water,Capital
