"long","lat","order","hole","piece","group","id","country"
-82.21483929,30.56859108,25,FALSE,"1","p101.1","p101","USA"
-82.05007028,30.36233908,26,FALSE,"1","p101.1","p101","USA"
-82.02286729,30.78799208,27,FALSE,"1","p101.1","p101","USA"
-81.49045352,30.77753659,28,FALSE,"1","p101.1","p101","USA"
-81.26874827,29.85758357,29,FALSE,"1","p101.1","p101","USA"
-81.21912885,29.68932933,30,FALSE,"1","p101.1","p101","USA"
-81.12584211,29.34342042,31,FALSE,"1","p101.1","p101","USA"
-80.97756048,29.14819265,32,FALSE,"1","p101.1","p101","USA"
-80.81862862,28.73016956,33,FALSE,"1","p101.1","p101","USA"
-80.86888227,27.82252209,34,FALSE,"1","p101.1","p101","USA"
-80.87315827,27.64230609,35,FALSE,"1","p101.1","p101","USA"
-80.58458918,28.42516105,1,FALSE,"1","p102.1","p102","USA"
-80.60116483,28.16674455,2,FALSE,"1","p102.1","p102","USA"
-80.42324444,27.78247932,3,FALSE,"1","p102.1","p102","USA"
-80.31099527,27.4164081,4,FALSE,"1","p102.1","p102","USA"
-80.25117099,27.22452527,5,FALSE,"1","p102.1","p102","USA"
-80.0396286,26.74634089,6,FALSE,"1","p102.1","p102","USA"
-80.37249376,25.23183878,7,FALSE,"1","p102.1","p102","USA"
-80.93017,25.21348893,8,FALSE,"1","p102.1","p102","USA"
-80.88564027,26.9589201,9,FALSE,"1","p102.1","p102","USA"
-80.67772727,27.3030031,10,FALSE,"1","p102.1","p102","USA"
-80.87315827,27.64230609,11,FALSE,"1","p102.1","p102","USA"
-80.86888227,27.82252209,12,FALSE,"1","p102.1","p102","USA"
-80.81862862,28.73016956,13,FALSE,"1","p102.1","p102","USA"
-80.6225951,28.62350757,14,FALSE,"1","p102.1","p102","USA"
-80.58458918,28.42516105,15,FALSE,"1","p102.1","p102","USA"
-83.90976538,43.91047904,1,FALSE,"1","p103.1","p103","USA"
-83.67646852,43.59391836,2,FALSE,"1","p103.1","p103","USA"
-83.51710288,43.70372354,3,FALSE,"1","p103.1","p103","USA"
-83.36362311,43.89348954,4,FALSE,"1","p103.1","p103","USA"
-82.74596738,43.99675004,5,FALSE,"1","p103.1","p103","USA"
-82.48110654,42.8550901,6,FALSE,"1","p103.1","p103","USA"
-82.64987425,42.63544902,7,FALSE,"1","p103.1","p103","USA"
-83.00818862,42.33240308,8,FALSE,"1","p103.1","p103","USA"
-83.13948377,42.14300191,9,FALSE,"1","p103.1","p103","USA"
-83.37914536,41.89337804,10,FALSE,"1","p103.1","p103","USA"
-83.46883477,41.73575568,11,FALSE,"1","p103.1","p103","USA"
-83.76303936,41.72355104,12,FALSE,"1","p103.1","p103","USA"
-84.39943036,41.70576104,13,FALSE,"1","p103.1","p103","USA"
-84.80608236,41.69609003,14,FALSE,"1","p103.1","p103","USA"
-85.25391516,41.75987123,15,FALSE,"1","p103.1","p103","USA"
-85.29954236,42.41956703,16,FALSE,"1","p103.1","p103","USA"
-85.54328836,42.42115203,17,FALSE,"1","p103.1","p103","USA"
-86.27393236,42.41936803,18,FALSE,"1","p103.1","p103","USA"
-86.43104238,43.81943002,19,FALSE,"1","p103.1","p103","USA"
-86.25563838,44.69141102,20,FALSE,"1","p103.1","p103","USA"
-85.54098339,45.21044302,21,FALSE,"1","p103.1","p103","USA"
-85.64056739,44.77525302,22,FALSE,"1","p103.1","p103","USA"
-85.09579239,45.36630603,23,FALSE,"1","p103.1","p103","USA"
-85.0123434,45.76335303,24,FALSE,"1","p103.1","p103","USA"
-84.2039464,45.62620003,25,FALSE,"1","p103.1","p103","USA"
-83.25996739,45.02510504,26,FALSE,"1","p103.1","p103","USA"
-83.33371138,44.33680604,27,FALSE,"1","p103.1","p103","USA"
-83.90976538,43.91047904,28,FALSE,"1","p103.1","p103","USA"
-83.93816787,46.00446493,29,FALSE,"2","p103.2","p103","USA"
-84.1141504,45.98188103,30,FALSE,"2","p103.2","p103","USA"
-84.6642174,46.05114803,31,FALSE,"2","p103.2","p103","USA"
-84.7519994,45.83886203,32,FALSE,"2","p103.2","p103","USA"
-85.5001014,46.09694002,33,FALSE,"2","p103.2","p103","USA"
-86.4599454,45.75822202,34,FALSE,"2","p103.2","p103","USA"
-86.53007631,45.9132453,35,FALSE,"2","p103.2","p103","USA"
-86.6417903,46.48067342,36,FALSE,"2","p103.2","p103","USA"
-85.8649604,46.50478002,37,FALSE,"2","p103.2","p103","USA"
-85.86440841,46.69019002,38,FALSE,"2","p103.2","p103","USA"
-84.95400941,46.77136303,39,FALSE,"2","p103.2","p103","USA"
-85.03442841,46.48826503,40,FALSE,"2","p103.2","p103","USA"
-84.58273716,46.46372114,41,FALSE,"2","p103.2","p103","USA"
-84.28736305,46.4787294,42,FALSE,"2","p103.2","p103","USA"
-84.15210264,46.32619577,43,FALSE,"2","p103.2","p103","USA"
-84.2511284,46.17518003,44,FALSE,"2","p103.2","p103","USA"
-83.93816787,46.00446493,45,FALSE,"2","p103.2","p103","USA"
-83.93816787,46.00446493,46,FALSE,"3","p103.3","p103","USA"
-83.6349814,46.10395303,47,FALSE,"3","p103.3","p103","USA"
-83.42258609,45.92054976,48,FALSE,"3","p103.3","p103","USA"
-83.93816787,46.00446493,49,FALSE,"3","p103.3","p103","USA"
-85.25391516,41.75987123,1,FALSE,"1","p104.1","p104","USA"
-85.65980236,41.75909803,2,FALSE,"1","p104.1","p104","USA"
-86.52392836,41.75954003,3,FALSE,"1","p104.1","p104","USA"
-86.82482936,41.76024002,4,FALSE,"1","p104.1","p104","USA"
-86.36480736,42.24300003,5,FALSE,"1","p104.1","p104","USA"
-86.27393236,42.41936803,6,FALSE,"1","p104.1","p104","USA"
-85.54328836,42.42115203,7,FALSE,"1","p104.1","p104","USA"
-85.29954236,42.41956703,8,FALSE,"1","p104.1","p104","USA"
-85.25391516,41.75987123,9,FALSE,"1","p104.1","p104","USA"
-86.24271434,40.21584803,1,FALSE,"1","p105.1","p105","USA"
-86.29210754,39.92486163,2,FALSE,"1","p105.1","p105","USA"
-86.32647234,39.63191203,3,FALSE,"1","p105.1","p105","USA"
-86.68686934,39.47017803,4,FALSE,"1","p105.1","p105","USA"
-87.19901334,39.60713803,5,FALSE,"1","p105.1","p105","USA"
-87.24038333,39.25900203,6,FALSE,"1","p105.1","p105","USA"
-87.60414233,39.25945903,7,FALSE,"1","p105.1","p105","USA"
-87.53166433,39.47712003,8,FALSE,"1","p105.1","p105","USA"
-87.52630535,41.01034602,9,FALSE,"1","p105.1","p105","USA"
-87.52669785,41.23211952,10,FALSE,"1","p105.1","p105","USA"
-87.52404435,41.70833502,11,FALSE,"1","p105.1","p105","USA"
-86.82482936,41.76024002,12,FALSE,"1","p105.1","p105","USA"
-86.52392836,41.75954003,13,FALSE,"1","p105.1","p105","USA"
-85.65980236,41.75909803,14,FALSE,"1","p105.1","p105","USA"
-85.25391516,41.75987123,15,FALSE,"1","p105.1","p105","USA"
-84.80608236,41.69609003,16,FALSE,"1","p105.1","p105","USA"
-84.80358235,41.27107904,17,FALSE,"1","p105.1","p105","USA"
-84.80412035,40.35284404,18,FALSE,"1","p105.1","p105","USA"
-84.81162134,39.96091804,19,FALSE,"1","p105.1","p105","USA"
-85.20147334,40.00452204,20,FALSE,"1","p105.1","p105","USA"
-85.57619434,40.07711003,21,FALSE,"1","p105.1","p105","USA"
-85.63329934,39.69853204,22,FALSE,"1","p105.1","p105","USA"
-85.95168634,39.69719203,23,FALSE,"1","p105.1","p105","USA"
-85.86194234,40.21897303,24,FALSE,"1","p105.1","p105","USA"
-86.24271434,40.21584803,25,FALSE,"1","p105.1","p105","USA"
-85.95168634,39.69719203,1,FALSE,"1","p106.1","p106","USA"
-86.32647234,39.63191203,2,FALSE,"1","p106.1","p106","USA"
-86.29210754,39.92486163,3,FALSE,"1","p106.1","p106","USA"
-86.24271434,40.21584803,4,FALSE,"1","p106.1","p106","USA"
-85.86194234,40.21897303,5,FALSE,"1","p106.1","p106","USA"
-85.95168634,39.69719203,6,FALSE,"1","p106.1","p106","USA"
-85.20147334,40.00452204,1,FALSE,"1","p107.1","p107","USA"
-84.81162134,39.96091804,2,FALSE,"1","p107.1","p107","USA"
-84.81495634,39.56725104,3,FALSE,"1","p107.1","p107","USA"
-84.82015834,39.10548104,4,FALSE,"1","p107.1","p107","USA"
-84.81464233,38.78448904,5,FALSE,"1","p107.1","p107","USA"
-85.33309333,38.73629004,6,FALSE,"1","p107.1","p107","USA"
-85.93948433,38.01095204,7,FALSE,"1","p107.1","p107","USA"
-86.36052933,38.19866504,8,FALSE,"1","p107.1","p107","USA"
-86.49085432,38.04579704,9,FALSE,"1","p107.1","p107","USA"
-87.11113332,37.78251303,10,FALSE,"1","p107.1","p107","USA"
-87.97755532,37.85047403,11,FALSE,"1","p107.1","p107","USA"
-87.98791132,38.25695803,12,FALSE,"1","p107.1","p107","USA"
-87.65152933,38.56816603,13,FALSE,"1","p107.1","p107","USA"
-87.60414233,39.25945903,14,FALSE,"1","p107.1","p107","USA"
-87.24038333,39.25900203,15,FALSE,"1","p107.1","p107","USA"
-87.19901334,39.60713803,16,FALSE,"1","p107.1","p107","USA"
-86.68686934,39.47017803,17,FALSE,"1","p107.1","p107","USA"
-86.32647234,39.63191203,18,FALSE,"1","p107.1","p107","USA"
-85.95168634,39.69719203,19,FALSE,"1","p107.1","p107","USA"
-85.63329934,39.69853204,20,FALSE,"1","p107.1","p107","USA"
-85.57619434,40.07711003,21,FALSE,"1","p107.1","p107","USA"
-85.20147334,40.00452204,22,FALSE,"1","p107.1","p107","USA"
-86.05663172,37.47592464,1,FALSE,"1","p108.1","p108","USA"
-86.46893332,37.32102204,2,FALSE,"1","p108.1","p108","USA"
-87.85813531,36.95064103,3,FALSE,"1","p108.1","p108","USA"
-88.35843632,37.40486103,4,FALSE,"1","p108.1","p108","USA"
-88.06423532,37.48454903,5,FALSE,"1","p108.1","p108","USA"
-87.97755532,37.85047403,6,FALSE,"1","p108.1","p108","USA"
-87.11113332,37.78251303,7,FALSE,"1","p108.1","p108","USA"
