order,color,color description
nuclear,#8B0000,red4
coal,#000000,black
gas-cc,#d2691e,chocolate
gas-ct,#d2b48c,tan
gas-other,#ff7f24,chocolate1
ogs,#cd5c5c,indianred
hydro,#27408b,royalblue4
bio,#54ff9f,seagreen
geo,#b3b3b3,gray70
wind,#4f94cd,steelblue3
pv-track,#ffa500,orange
pv-roof,#e59400,orange
pv-fix,#cc8400,orange
pv-bat,#b27300,orange
csp-tes,#ee4000,orangered
csp-notes,#d63900,orangered
storage,#dcdcdc,gainsboro
