i,n,st,rto,r,rnew,censusregions,nems,in,country,custreg
34,p12,nv,rto2,nr11,nr2new,mtn,nems21,wscc,usa,Mountain
35,p12,nv,rto2,nr11,nr2new,mtn,nems21,wscc,usa,Mountain
36,p12,nv,rto2,nr11,nr2new,mtn,nems21,wscc,usa,Mountain
37,p12,nv,rto2,nr11,nr2new,mtn,nems21,wscc,usa,Mountain
38,p12,nv,rto2,nr11,nr2new,mtn,nems21,wscc,usa,Mountain
39,p12,nv,rto2,nr11,nr2new,mtn,nems21,wscc,usa,Mountain
40,p13,nv,rto3,nr12,nr7new,mtn,nems19,wscc,usa,Mountain
41,p14,id,rto1,nr11,nr1new,mtn,nems21,wscc,usa,Mountain
42,p15,id,rto1,nr11,nr2new,mtn,nems21,wscc,usa,Mountain
43,p15,id,rto1,nr11,nr2new,mtn,nems21,wscc,usa,Mountain
44,p15,id,rto1,nr11,nr2new,mtn,nems21,wscc,usa,Mountain
45,p15,id,rto1,nr11,nr2new,mtn,nems21,wscc,usa,Mountain
46,p16,id,rto1,nr11,nr2new,mtn,nems21,wscc,usa,Mountain
47,p16,id,rto1,nr11,nr2new,mtn,nems21,wscc,usa,Mountain
48,p25,ut,rto2,nr11,nr2new,mtn,nems21,wscc,usa,Mountain
49,p25,ut,rto2,nr11,nr2new,mtn,nems21,wscc,usa,Mountain
50,p26,ut,rto2,nr11,nr2new,mtn,nems21,wscc,usa,Mountain
51,p25,ut,rto2,nr11,nr2new,mtn,nems21,wscc,usa,Mountain
52,p25,ut,rto2,nr11,nr2new,mtn,nems21,wscc,usa,Mountain
53,p27,az,rto3,nr12,nr7new,mtn,nems19,wscc,usa,Mountain
54,p28,az,rto3,nr12,nr7new,mtn,nems19,wscc,usa,Mountain
55,p29,az,rto3,nr12,nr7new,mtn,nems19,wscc,usa,Mountain
56,p28,az,rto3,nr12,nr7new,mtn,nems19,wscc,usa,Mountain
57,p28,az,rto3,nr12,nr7new,mtn,nems19,wscc,usa,Mountain
58,p30,az,rto3,nr12,nr7new,mtn,nems19,wscc,usa,Mountain
59,p28,az,rto3,nr12,nr7new,mtn,nems19,wscc,usa,Mountain
60,p17,mt,rto1,nr11,nr1new,mtn,nems21,wscc,usa,Mountain
61,p17,mt,rto1,nr11,nr1new,mtn,nems21,wscc,usa,Mountain
62,p17,mt,rto1,nr11,nr1new,mtn,nems21,wscc,usa,Mountain
63,p17,mt,rto1,nr11,nr1new,mtn,nems21,wscc,usa,Mountain
64,p18,mt,rto2,nr11,nr1new,mtn,nems21,wscc,usa,Mountain
65,p18,mt,rto2,nr11,nr1new,mtn,nems21,wscc,usa,Mountain
66,p20,mt,rto2,nr11,nr1new,mtn,nems21,wscc,usa,Mountain
67,p18,mt,rto2,nr11,nr1new,mtn,nems21,wscc,usa,Mountain
68,p19,mt,rto2,nr11,nr9new,mtn,nems21,wscc,usa,Mountain
69,p20,mt,rto2,nr11,nr1new,mtn,nems21,wscc,usa,Mountain
70,p21,wy,rto2,nr11,nr2new,mtn,nems21,wscc,usa,Mountain
71,p21,wy,rto2,nr11,nr2new,mtn,nems21,wscc,usa,Mountain
72,p22,wy,rto2,nr11,nr3new,mtn,nems22,wscc,usa,Mountain
73,p23,wy,rto5,nr11,nr3new,mtn,nems22,wscc,usa,Mountain
74,p24,wy,rto5,nr11,nr3new,mtn,nems22,wscc,usa,Mountain
75,p33,co,rto5,nr12,nr3new,mtn,nems22,wscc,usa,Mountain
76,p33,co,rto5,nr12,nr3new,mtn,nems22,wscc,usa,Mountain
77,p34,co,rto5,nr12,nr3new,mtn,nems22,wscc,usa,Mountain
78,p34,co,rto5,nr12,nr3new,mtn,nems22,wscc,usa,Mountain
79,p33,co,rto5,nr12,nr3new,mtn,nems22,wscc,usa,Mountain
80,p33,co,rto5,nr12,nr3new,mtn,nems22,wscc,usa,Mountain
81,p33,co,rto5,nr12,nr3new,mtn,nems22,wscc,usa,Mountain
82,p33,co,rto5,nr12,nr3new,mtn,nems22,wscc,usa,Mountain
83,p34,co,rto5,nr12,nr3new,mtn,nems22,wscc,usa,Mountain
84,p34,co,rto5,nr12,nr3new,mtn,nems22,wscc,usa,Mountain
85,p33,co,rto5,nr12,nr3new,mtn,nems22,wscc,usa,Mountain
86,p34,co,rto5,nr12,nr3new,mtn,nems22,wscc,usa,Mountain
87,p34,co,rto5,nr12,nr3new,mtn,nems22,wscc,usa,Mountain
88,p31,nm,rto3,nr12,nr7new,mtn,nems19,wscc,usa,Mountain
89,p31,nm,rto3,nr12,nr7new,mtn,nems19,wscc,usa,Mountain
90,p31,nm,rto3,nr12,nr7new,mtn,nems19,wscc,usa,Mountain
91,p31,nm,rto3,nr12,nr7new,mtn,nems19,wscc,usa,Mountain
92,p31,nm,rto3,nr12,nr7new,mtn,nems19,wscc,usa,Mountain
93,p31,nm,rto3,nr12,nr7new,mtn,nems19,wscc,usa,Mountain
94,p59,tx,rto3,nr12,nr7new,mtn,nems19,wscc,usa,West South Central
95,p32,sd,rto5,nr11,nr3new,mtn,nems22,wscc,usa,West North Central
96,p35,mt,rto11,nr5,nr9new,wnc,nems4,eastern,usa,Mountain
97,p36,nd,rto11,nr5,nr9new,wnc,nems4,eastern,usa,West North Central
98,p36,nd,rto11,nr5,nr9new,wnc,nems4,eastern,usa,West North Central
99,p37,nd,rto11,nr5,nr9new,wnc,nems4,eastern,usa,West North Central
100,p36,nd,rto11,nr5,nr9new,wnc,nems4,eastern,usa,West North Central
101,p36,nd,rto11,nr5,nr9new,wnc,nems4,eastern,usa,West North Central
102,p37,nd,rto11,nr5,nr9new,wnc,nems4,eastern,usa,West North Central
103,p37,nd,rto11,nr5,nr9new,wnc,nems4,eastern,usa,West North Central
104,p38,sd,rto11,nr5,nr9new,wnc,nems4,eastern,usa,West North Central
105,p38,sd,rto11,nr5,nr9new,wnc,nems4,eastern,usa,West North Central
106,p38,sd,rto11,nr5,nr9new,wnc,nems4,eastern,usa,West North Central
107,p38,sd,rto11,nr5,nr9new,wnc,nems4,eastern,usa,West North Central
108,p38,sd,rto11,nr5,nr9new,wnc,nems4,eastern,usa,West North Central
109,p38,sd,rto11,nr5,nr9new,wnc,nems4,eastern,usa,West North Central
110,p38,sd,rto11,nr5,nr9new,wnc,nems4,eastern,usa,West North Central
111,p38,sd,rto11,nr5,nr9new,wnc,nems4,eastern,usa,West North Central
112,p38,sd,rto11,nr5,nr9new,wnc,nems4,eastern,usa,West North Central
113,p38,sd,rto11,nr5,nr9new,wnc,nems4,eastern,usa,West North Central
114,p39,ne,rto8,nr5,nr10new,wnc,nems4,eastern,usa,West North Central
115,p39,ne,rto8,nr5,nr10new,wnc,nems4,eastern,usa,West North Central
116,p40,ne,rto8,nr5,nr10new,wnc,nems4,eastern,usa,West North Central
117,p40,ne,rto8,nr5,nr10new,wnc,nems4,eastern,usa,West North Central
118,p40,ne,rto8,nr5,nr10new,wnc,nems4,eastern,usa,West North Central
119,p41,ne,rto8,nr5,nr10new,wnc,nems4,eastern,usa,West North Central
120,p42,mn,rto11,nr5,nr9new,wnc,nems4,eastern,usa,West North Central
121,p43,mn,rto11,nr5,nr11new,wnc,nems4,eastern,usa,West North Central
122,p44,mn,rto11,nr5,nr11new,wnc,nems4,eastern,usa,West North Central
123,p44,mn,rto11,nr5,nr11new,wnc,nems4,eastern,usa,West North Central
124,p43,mn,rto11,nr5,nr11new,wnc,nems4,eastern,usa,West North Central
125,p43,mn,rto11,nr5,nr11new,wnc,nems4,eastern,usa,West North Central
126,p43,mn,rto11,nr5,nr11new,wnc,nems4,eastern,usa,West North Central
127,p43,mn,rto11,nr5,nr11new,wnc,nems4,eastern,usa,West North Central
128,p43,mn,rto11,nr5,nr11new,wnc,nems4,eastern,usa,West North Central
129,p46,wi,rto11,nr5,nr11new,enc,nems4,eastern,usa,Great Lakes
130,p46,wi,rto11,nr5,nr11new,enc,nems4,eastern,usa,Great Lakes
131,p46,wi,rto11,nr5,nr11new,enc,nems4,eastern,usa,Great Lakes
132,p45,ia,rto6,nr5,nr11new,wnc,nems4,eastern,usa,West North Central
133,p69,ia,rto6,nr5,nr11new,wnc,nems4,eastern,usa,West North Central
134,p45,ia,rto6,nr5,nr11new,wnc,nems4,eastern,usa,West North Central
13,p5,or,rto1,nr11,nr1new,pa,nems21,wscc,usa,Pacific
135,p52,ks,rto8,nr10,nr10new,wnc,nems17,eastern,usa,West North Central
136,p53,ks,rto8,nr10,nr10new,wnc,nems17,eastern,usa,West North Central
137,p53,ks,rto8,nr10,nr10new,wnc,nems17,eastern,usa,West North Central
138,p53,ks,rto8,nr10,nr10new,wnc,nems17,eastern,usa,West North Central
139,p53,ks,rto8,nr10,nr10new,wnc,nems17,eastern,usa,West North Central
140,p53,ks,rto8,nr10,nr10new,wnc,nems17,eastern,usa,West North Central
141,p53,ks,rto8,nr10,nr10new,wnc,nems17,eastern,usa,West North Central
142,p53,ks,rto8,nr10,nr10new,wnc,nems17,eastern,usa,West North Central
143,p53,ks,rto8,nr10,nr10new,wnc,nems17,eastern,usa,West North Central
144,p54,mo,rto8,nr10,nr11new,wnc,nems17,eastern,usa,West North Central
145,p54,mo,rto8,nr10,nr11new,wnc,nems17,eastern,usa,West North Central
146,p55,mo,rto8,nr10,nr10new,wnc,nems17,eastern,usa,West North Central
