raw,display
capcostconv,Conventional Capital
omconv,Conventional O&M
fuelconv,Conventional Fuel
capcostre,Renewable Capital
omvrre,Renewable O&M
omdre,Renewable O&M
fuelre,Renewable Fuel
capcoststore,Storage Capital
omstore,Storage O&M
fuelstore,Storage O&M
capcosttrans,Transmission
omtrans,Transmission
water,Water
